Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
17,1160,17,2018-11-21,LAL,@,CLE,W 109-105,*,35:30,11,20,.550,2,6,.333,9,14,.643,.600,8,12,.667,2,12,14,7,0,1,4,3,32,26.2,9
18,1161,18,2018-11-23,LAL,,UTA,W 90-83,*,35:04,8,17,.471,2,5,.400,6,12,.500,.529,4,6,.667,1,9,10,7,2,1,5,1,22,18.1,13
19,1162,19,2018-11-25,LAL,,ORL,L 104-108,*,40:27,8,14,.571,2,7,.286,6,7,.857,.643,6,11,.545,0,4,4,7,0,1,6,4,24,14.6,-14
20,1163,20,2018-11-27,LAL,@,DEN,L 85-117,*,30:04,5,15,.333,0,4,.000,5,11,.455,.333,4,6,.667,0,7,7,2,2,2,4,0,14,7.6,-23
21,1164,21,2018-11-29,LAL,,IND,W 104-96,*,38:09,15,27,.556,2,7,.286,13,20,.650,.593,6,10,.600,1,8,9,7,2,0,4,2,38,28.7,19
22,1165,22,2018-11-30,LAL,,DAL,W 114-103,*,31:19,12,21,.571,2,4,.500,10,17,.588,.619,2,4,.500,2,3,5,4,0,1,4,3,28,17.9,10
23,1166,23,2018-12-02,LAL,,PHO,W 120-96,*,30:59,9,17,.529,1,5,.200,8,12,.667,.559,3,4,.750,0,6,6,8,0,1,5,0,22,16.4,12
24,1167,24,2018-12-05,LAL,,SAS,W 121-113,*,39:42,15,24,.625,3,7,.429,12,17,.706,.688,9,13,.692,0,5,5,6,2,0,2,1,42,34.9,19
25,1168,25,2018-12-07,LAL,@,SAS,L 120-133,*,37:21,13,28,.464,3,8,.375,10,20,.500,.518,6,9,.667,2,6,8,11,2,0,1,4,35,29.7,-19
26,1169,26,2018-12-08,LAL,@,MEM,W 111-88,*,31:38,9,18,.500,0,3,.000,9,15,.600,.500,2,3,.667,1,7,8,9,2,0,5,2,20,15.9,21
27,1170,27,2018-12-10,LAL,,MIA,W 108-105,*,37:31,10,19,.526,4,7,.571,6,12,.500,.632,4,8,.500,0,9,9,12,1,0,2,0,28,27.2,18
28,1171,28,2018-12-13,LAL,@,HOU,L 111-126,*,36:26,12,18,.667,3,6,.500,9,12,.750,.750,2,6,.333,0,5,5,4,2,0,3,1,29,22.5,-9
29,1172,29,2018-12-15,LAL,@,CHO,W 128-100,*,30:13,7,15,.467,2,6,.333,5,9,.556,.533,8,12,.667,1,11,12,11,1,0,3,0,24,24.4,31
30,1173,30,2018-12-16,LAL,@,WAS,L 110-128,*,32:00,5,16,.313,0,2,.000,5,14,.357,.313,3,6,.500,0,6,6,3,0,1,4,0,13,3.2,-21
31,1174,31,2018-12-18,LAL,@,BRK,L 110-115,*,41:12,13,23,.565,2,7,.286,11,16,.688,.609,8,13,.615,1,12,13,8,1,1,5,1,36,29.3,4
32,1175,32,2018-12-21,LAL,,NOP,W 112-104,*,38:45,8,20,.400,0,4,.000,8,16,.500,.400,6,9,.667,2,10,12,14,2,0,2,3,22,23.0,13
33,1176,33,2018-12-23,LAL,,MEM,L 99-107,*,35:37,8,14,.571,2,5,.400,6,9,.667,.643,4,4,1.000,1,13,14,7,1,1,4,0,22,22.6,-3
34,1177,34,2018-12-25,LAL,@,GSW,W 127-101,*,21:15,6,11,.545,0,2,.000,6,9,.667,.545,5,8,.625,2,11,13,5,1,0,2,1,17,17.3,5
34,,35,2018-12-27,LAL,@,SAC,L 116-117,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,36,2018-12-28,LAL,,LAC,L 107-118,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,37,2018-12-30,LAL,,SAC,W 121-114,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,38,2019-01-02,LAL,,OKC,L 100-107,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,39,2019-01-04,LAL,,NYK,L 112-119,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,40,2019-01-06,LAL,@,MIN,L 86-108,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,41,2019-01-07,LAL,@,DAL,W 107-97,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,42,2019-01-09,LAL,,DET,W 113-100,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,43,2019-01-11,LAL,@,UTA,L 95-113,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
